,label,sentiment
0,0,chất_son không hài_lòng làm môi khô
1,0,treo đầu dê bán thịt chó à kêu hàng thái_lan mà nhận về lại là hàng indonexia là
2,1,màu không đúng với thưc tế
3,2,sản_phẩm giống mô_tả giao rất
4,2,hàng rất đẹp siêu dễ_thương luôn phần sau hơi dơ một_tí mong cửa_hàng lần sau cẩn thẩn hơn nhưng_mà không sao hàng đẹp là oketiki giao hàng cũng nhanh
5,0,đơn hàng của mình bị mở ra từ trước mình rất thất_vọng về dịch_vụ giao hàng lần này mình thật_sự rất khó_chịu khi ai đó xem đồ của mình
6,0,khăn bên trong bị mốc cửa_hàng bán khăn chất_lượng quá kém khăn như_vậy dùng không được vui_lòng hướng_dẫn hoàn hàng
7,2,ngon trong tầm giá tốc_độ thì đọc ghi đều nhanh như húp cháo
8,1,chân_đế quá to không như mô_tả
9,2,giao sai màu nhưng không sao rất chắc cảm_giác sẽ bền phù_hợp giá_thành
10,1,giao hàng nhanh giày ổn nhưng phần viền keo dán bị lộ đóng_gói cẩn_thận và được tặng túi đựng giày
11,1,chuyển_tải hình_ảnh ô_kê nhưng vài_ba phút lại bị tắt màn_hình không biết có đổi được cái khác ổn_định hơn
12,1,có hàng xuất_xứ korea không hôm_qua mình nhận hàng xuất_xứ trung_quốc
13,1,doanh_thu không đủ chi_phí quảng_cáo
14,2,bánh ăn ngon dễ ăn dùng thay bữa
15,1,bộ sản_phẩm được tặng kèm với máy đánh trứng nhựa mỏng
16,0,nút khoá ngay tay_áo khá dở mình mới bứt ra để săn tay lên là đứt luôn mặc_dù sản_phẩm giá rẻ nhưng bị vậy cảm_thấy khá hụt hững sản_xuất invietnam
17,0,sao nhập mã không vào được khoá học
18,1,vải bố nhưng sao mùi nồng lắm ngồi không êm chất_lượng phù_hợp giá
19,2,tôi nhận được hàng tốt tuy khi mới mua vể mùa cao_su hơi nhiều nhưng không ảnh_hưởng nhiều cảm_ơn tiki
20,0,bọc hàng sơ_sài vận_chuyển kém nát sách tróc bìa
21,2,xài xong da bao mịn_màng mà không bị nhờn
22,1,ô_kê đã nhận được hàng
23,2,so với giá thì chất_lượng thế_này là khá ổn màu_sắc rõ nét hoạ_tiết đẹp giao nhanh hài_lòng
24,1,chưa sử_dụng tuy_nhiên hộp giấy ngoài bị móp tí
25,1,tiền giao hàng hơi cao gần bằng sản_phẩm
26,1,đặt màu hồng sau lại gửi mình màu đen cần tiki đổi lại giúp mình sản_phẩm vì mình mua quạt này cho con gái mình
27,1,hàng cũng được nhưng cái người giao hàng thái_độ khó_chịu quá ba sao
28,0,bánh quá cứng để mèo con có_thể
29,1,sách đã được mở xem nhiều không đóng_gói nguyên_bản đây là cửa_hàng của tiki nên tiki xem_lại việc bán hàng của mình
30,0,nói của đài_loan tôi mới mua nhưng khi nhận lại là hàng tàu quá chán đề_nghị tiki xem_lại
31,1,mới chơi thì bị xúc chỉ không biết sài được
32,1,tạm ổn chưa đáng_giá
33,2,đóng_gói kỹ dầu_gội thơm lắm nha
34,0,không thu được sóng như quảng_cáo
35,0,máy rất ồn ép bị văng nước vào ngăn ba và trào ra ngoài máy rung mạnh không có độ bám nền không ép được rau dùng vài phút tự ngắt
36,1,nhân_viên giao hàng cộc_cằn đòi_hỏi đủ thứ nói_chuyện nạt_nộ khách_hàng giống như sợ tốn tien điện_thoại than_phiền hà đủ kiểu
37,0,không dùng được do mình đã xe mác nên không đổi lại
38,0,khi mở ra thấy mùi_son khá là khó_chịu giống như mùi mỡ bị hỏng
39,1,khó dùng chạy chậm màn_hình không sắc nét lắm
40,1,tạm được nhé cửa_hàng ơi cửa_hàng
